Epoch,Train Loss,"Train Dice Class 0 (Color: (0, 0, 0))","Train Dice Class 1 (Color: (250, 149, 10))","Train Dice Class 2 (Color: (19, 98, 19))","Train Dice Class 3 (Color: (249, 249, 10))","Train Dice Class 4 (Color: (10, 248, 250))","Train Dice Class 5 (Color: (149, 7, 149))","Train Dice Class 6 (Color: (5, 249, 9))","Train Dice Class 7 (Color: (20, 19, 249))","Train Dice Class 8 (Color: (249, 9, 250))",Validation Loss,Validation Accuracy
1,0.6208850709522296,0.9266873598098755,0.06956013292074203,0.21519190073013306,0.0011325612431392074,0.2758100628852844,0.08962535858154297,0.027116471901535988,0.1254246085882187,0.019767411053180695,0.621409785747528,"tensor(0.8126, device='cuda:0')"
2,0.40853120883305866,0.9526073336601257,0.253684401512146,0.33998903632164,0.0021959764417260885,0.3510817885398865,0.10846693068742752,0.04891577735543251,0.17085310816764832,0.07360281050205231,0.38703773021697996,"tensor(0.8889, device='cuda:0')"
3,0.3538914144788898,0.9591405391693115,0.31852012872695923,0.4470900595188141,0.008521870709955692,0.4291989803314209,0.22971221804618835,0.12176226079463959,0.23285190761089325,0.14302808046340942,0.4139557883143425,"tensor(0.8902, device='cuda:0')"
4,0.33200880782034414,0.9622387290000916,0.3538033962249756,0.4991278052330017,0.013485657051205635,0.4633713662624359,0.27703580260276794,0.1987399011850357,0.2526833713054657,0.24160708487033844,0.33999659717082975,"tensor(0.9009, device='cuda:0')"
5,0.31935467435129034,0.9641281366348267,0.36876001954078674,0.5165534615516663,0.019591830670833588,0.4671514332294464,0.29987961053848267,0.1872861683368683,0.2518782317638397,0.29462364315986633,0.3361701831221581,"tensor(0.9004, device='cuda:0')"
6,0.30487266604630453,0.9654489159584045,0.390337198972702,0.5382109880447388,0.03996247425675392,0.5033562183380127,0.3494265079498291,0.24714137613773346,0.2815488278865814,0.33027446269989014,0.35075187534093855,"tensor(0.9004, device='cuda:0')"
7,0.28086615217931615,0.9686983823776245,0.4379858374595642,0.5810324549674988,0.06661868095397949,0.5451395511627197,0.4278315007686615,0.29199767112731934,0.3201500475406647,0.3823675811290741,0.2952803194522858,"tensor(0.9121, device='cuda:0')"
8,0.2701257925550893,0.9697995781898499,0.4871261417865753,0.5982873439788818,0.09763270616531372,0.5567030906677246,0.4563336670398712,0.3074314296245575,0.33926522731781006,0.4066738784313202,0.29543137922883034,"tensor(0.9117, device='cuda:0')"
9,0.26147562274767916,0.9709061980247498,0.5068246722221375,0.6062167882919312,0.11446291953325272,0.5650480389595032,0.4773878753185272,0.3229517638683319,0.35811886191368103,0.42968547344207764,0.2706198789179325,"tensor(0.9168, device='cuda:0')"
10,0.24254814821219295,0.9728747010231018,0.5516038537025452,0.6370927095413208,0.16103827953338623,0.5873222947120667,0.5097960829734802,0.32926708459854126,0.3993944227695465,0.4762274920940399,0.2565413281321526,"tensor(0.9208, device='cuda:0')"
11,0.23192038373002466,0.9737474918365479,0.5805458426475525,0.6500090956687927,0.21160797774791718,0.5972684025764465,0.5233386158943176,0.3434101939201355,0.4446241855621338,0.5105499625205994,0.2387811042368412,"tensor(0.9252, device='cuda:0')"
12,0.22351451780436174,0.9745195508003235,0.6125783920288086,0.6589649319648743,0.24038094282150269,0.6055960059165955,0.5354787707328796,0.3516309857368469,0.4745383560657501,0.5298449397087097,0.2321022443473339,"tensor(0.9272, device='cuda:0')"
13,0.20658630652810042,0.9760603308677673,0.6617447733879089,0.6828917264938354,0.3007422387599945,0.6234508752822876,0.5641423463821411,0.39536145329475403,0.5291064381599426,0.5710398554801941,0.21048075705766678,"tensor(0.9322, device='cuda:0')"
14,0.19859235119894617,0.9767959713935852,0.6807827949523926,0.692040741443634,0.32830938696861267,0.623486340045929,0.5811271667480469,0.4250700771808624,0.5556356310844421,0.5932555198669434,0.20473355799913406,"tensor(0.9336, device='cuda:0')"
